Jurisdiction,Lat,Lon,Status,Need_Index,Viability_Score,Funding_Category,Funding_Detail,Demographic,Intake_Partner,Disbursement_Partner,Vendor_Rationale,Cohort_Size,Disbursement_Monthly,Timeline,Need_Math,Viability_Math,Rationale,Deployment_Playbook,Effectiveness_Score,Eval_Summary,Eval_Link,Opportunity_Score
"Compton, CA (Compton Pledge)",33.8958,-118.2201,Completed,88,90,Private Philanthropy,Private Philanthropy (JFI),General Low-Income,UpTogether,UpTogether,Private trust-based platform selected explicitly to protect undocumented participants from government data-sharing.,800,$600,2020 – 2022,Racial Wealth Disparity (38) + Housing Cost (28) + Cliff Risk (22) = 88,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,"One of the largest privately funded pilots in California, explicitly including undocumented residents.",,90.0,Demonstrated increased household spending on health care and nutrition; sustained credit score stability.,https://comptonpledge.org/,89.2
"Santa Clara County, CA",37.3541,-121.9552,Active Pilot,82,92,Public Municipal,County General Fund ($1.2M),Youth / Foster,County Social Services,Usio,Direct integration with county foster care databases allowed for secure in-house municipal intake.,72,"$1,000",Jun 2020 – Present,Foster Aging Out Risk (38) + High Housing Cost (30) + Cliff Risk (14) = 82,Base (100) - Preemption (0) - Waiver Gaps (-8) = 92,First county-funded basic income pilot in the US supporting youth transitioning out of foster care.,WHO: County Board. WHAT: Scale to older foster alumni.,,,,88.0
"Oakland, CA (Oakland Resilient)",37.8044,-122.2712,Completed,85,92,Private Philanthropy,Private Philanthropy (Blue Meridian),Families / Parents,UpTogether,UpTogether,Trust-based model explicitly targeted families of color and undocumented groups without leveraging government tracking.,600,$500,2021 – 2023,Urban Wealth Gap (35) + Housing Burden (30) + Cliff Risk (20) = 85,Base (100) - Preemption (0) - Waiver Gaps (-8) = 92,100% privately funded pilot aimed at eliminating the racial wealth gap in East Oakland.,,90.0,Demonstrated massive gains in food security and a reduction in predatory payday loan usage.,https://oaklandresilientfamilies.org/,89.2
"San Diego, CA (For Every Child)",32.7157,-117.1611,Completed,80,90,Public / Private Mix,County & Local Foundations,Families / Parents,Jewish Family Service,Usio,Local non-profits vetted families directly through existing social safety net pipelines to reduce friction.,150,$500,2022 – 2024,Child Poverty (32) + Housing Burden (28) + Cliff Risk (20) = 80,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,Targeted families in border zip codes suffering from extreme housing cost burdens.,,88.0,Evaluated by UC San Diego. 100% of participants stayed housed despite rent increases in the metro area.,https://www.sandiegoforeverychild.org/,86.0
"Denver, CO (Basic Income Project)",39.7392,-104.9903,Completed,74,88,Private Philanthropy,Private Philanthropy & Impact Charitable ($10.8M+ distributed),Unhoused / At-Risk,Denver Basic Income Project,Impact Charitable,"Rigorous randomized controlled trial tracking unhoused populations, fiscal sponsorship managed via Impact Charitable.",800,"$500 - $1,000 tiered",July 2021 – Dec 2023,Unhoused Density (35) + Housing Cost (29) + Cliff Risk (10) = 74,Base (100) - Preemption (0) - Waiver Gaps (-12) = 88,First and largest project in the US studying guaranteed income for individuals experiencing homelessness.,,94.0,Evaluated by DU Center for Housing and Homelessness Research. Demonstrated dramatic increase in stable housing and major public healthcare cost savings.,https://www.denverbasicincomeproject.org/,82.4
"Flint, MI (Rx Kids)",43.0125,-83.6875,Active Pilot,94,90,Public / Private Mix,"State Appropriation, Mott Foundation, & Local Hospitals",Maternal Health,GiveDirectly,GiveDirectly,Clinical hospital data securely integrated directly with a national intermediary to trigger prenatal disbursements instantly.,1200,"$1,500 prenatal + $500/mo",Jan 2024 – Present,Infant Mortality / Poverty (40) + Housing Cost (26) + Cliff Risk (28) = 94,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,"America’s first citywide Rx Kids prescription for poverty, providing cash to every pregnant mother in Flint.",WHO: Hurley Medical Center. WHAT: Scale automated clinical data sharing and infant health metrics tracking.,,,,91.6
"Ann Arbor, MI (Gro(w)th)",42.2808,-83.743,Active Pilot,60,85,Public ARPA,Ann Arbor ARPA Funds + UM Poverty Solutions,General Low-Income,AidKit,Usio,ARPA funds required highly structured identity and income verification for volatile gig-worker revenue streams.,100,$528,Jan 2023 – Present,Entrepreneurial Need (25) + Housing Cost (25) + Cliff Risk (10) = 60,Base (100) - Preemption (0) - Waiver Gaps (-15) = 85,Targeting low-income entrepreneurs and gig workers to test cash stabilization effects on small business survival.,WHO: City Administrator. WHAT: Provide micro-business revenue tracking integrations.,,,,75.0
"Baltimore, MD (Young Families)",39.2904,-76.6122,Active Pilot,92,85,Public ARPA,Municipal ARPA Allocation ($4.8M),Families / Parents,AidKit,Usio,Municipal ARPA compliance necessitated automated identity verification and duplication checks for young parents.,200,"$1,000",Dec 2022 – Present,Child Poverty (40) + Housing Cost (25) + Cliff Risk (27) = 92,Base (100) - Preemption (-5) - Waiver Gaps (-10) = 85,Targeting young parents facing deep poverty; ARPA allocations backed by city leadership.,WHO: Mayor’s Office. WHAT: Provide capacity-building for longitudinal tracking as cohort expands.,,,,87.8
"Alexandria, VA (ARISE)",38.8048,-77.0469,Completed,72,85,Public ARPA,Municipal ARPA Funds,General Low-Income,AidKit,Usio,City utilized structured application workflows to navigate local state laws regarding public cash assistance.,170,$500,2023 – 2024,Urban Poverty (28) + Housing Cost (25) + Cliff Risk (19) = 72,Base (100) - Preemption (-5) - Waiver Gaps (-10) = 85,Targeted low-income working households heavily impacted by regional cost of living increases.,,88.0,Evaluated by local agencies. Demonstrated sustained housing stability and improved emergency savings.,https://www.alexandriava.gov/,79.8
"New York City, NY (Bridge Project)",40.7128,-74.006,Active Pilot,89,91,Private Philanthropy,The Monarch Foundation (Private Endowment),Maternal Health,AidKit,MoCaFi,Private foundation utilized enterprise SaaS to rapidly scale and verify cohorts across multiple boroughs.,1200,"$1,000",Sep 2021 – Present,Maternal Poverty (39) + Housing Cost (30) + Cliff Risk (20) = 89,Base (100) - Preemption (0) - Waiver Gaps (-9) = 91,First multi-year pilot exclusively focusing on pregnant mothers and infants in high-poverty neighborhoods.,WHO: Monarch Foundation. WHAT: Share multi-year infant health outcomes data with municipal health agencies.,,,,90.2
"Hudson, NY (Spark+Wave)",42.2529,-73.79,Completed,76,90,Private Philanthropy,Spark+Wave Philanthropic Fund,General Low-Income,UpTogether,UpTogether,Philanthropic trust-based model circumventing traditional stringent poverty verifications.,25,$500,2020 – 2025,Small City Poverty (31) + Housing Cost (25) + Cliff Risk (20) = 76,Base (100) - Preemption (0) - Waiver Gaps (-10) = 90,One of the earliest small-city universal basic income experiments in New York State.,,87.0,"Enabled recipients to pursue higher education, secure stable vehicle transportation, and improve overall household solvency.",https://www.sparkhudson.org/,84.4
"Ulster County, NY (Resilience)",41.927,-74.1996,Active Pilot,65,88,Public / Private Mix,County General Fund & Community Foundation,General Low-Income,Community Action of Ulster,Usio,"Local community action agency handled intake to maintain rural community trust, integrating with external card issuers.",100,$500,2021 – Present,Rural Poverty (25) + Housing Cost (22) + Cliff Risk (18) = 65,Base (100) - Preemption (0) - Waiver Gaps (-12) = 88,"First county-level basic income pilot in New York State, targeting cost-burdened rural families.",WHO: Ulster County Executive. WHAT: Build regional data tracking for upstate NY poverty alleviation.,,,,78.8
"Rochester, NY (Guaranteed Basic Income Initiative)",43.1566,-77.6088,Active Pilot,85,85,Public Municipal,City of Rochester Municipal Funds & BCFF,General Low-Income,BCFF / Mayor's Office,Unknown,Intake administered by the Black Community Focus Fund (BCFF) alongside the Mayor's office to build localized trust.,351,$500,2023 – Present,Urban Poverty (35) + Housing Burden (28) + Cliff Risk (22) = 85,Base (100) - Preemption (0) - Waiver Gaps (-15) = 85,Targeted low-income city residents to study the direct alleviation of generational urban poverty.,WHO: Mayor’s Office & BCFF. WHAT: Expand long-term financial coaching modules. WHEN: Ongoing.,,,,85.0
"Saint Paul, MN (Prosperity)",44.9537,-93.09,Completed,75,91,Public ARPA,Municipal ARPA & Mayoral Innovation Fund,Families / Parents,City of Saint Paul,MoCaFi,"Mayor’s office absorbed intake responsibilities to reduce overhead, outsourcing only the financial transaction layer.",150,$500,Oct 2020 – Oct 2023,Low-Income Family Density (30) + Housing Cost (25) + Cliff Risk (20) = 75,Base (100) - Preemption (0) - Waiver Gaps (-9) = 91,"Championed by former Mayor Melvin Carter, providing guaranteed income to parents experiencing financial instability.",,90.0,Over 70% of participants used funds to pay down debt or build emergency savings.,https://www.stpaul.gov/,84.6
"Minneapolis, MN (GBI)",44.9778,-93.265,Completed,76,89,Public ARPA,City of Minneapolis ARPA ($3M),General Low-Income,Community Action,Usio,"Leveraged existing community action partnerships for ARPA vetting, routing payments through standard fintech.",200,$500,2022 – 2024,Urban Poverty (32) + Housing Cost (26) + Cliff Risk (18) = 76,Base (100) - Preemption (0) - Waiver Gaps (-11) = 89,Evaluated unconditional cash transfers across high-poverty Minneapolis zip codes.,,89.0,"Demonstrated steady improvements in housing retention, utility reliability, and reduction in psychological distress.",https://www.minneapolismn.gov/,83.8
"Cambridge, MA (RISE)",42.3736,-71.1097,Completed,65,92,Public Municipal,Municipal General Fund & Private Match,Families / Parents,UpTogether,UpTogether,City routed municipal funds through a third-party trust platform to insulate participant data from public records.,130,$500,Nov 2021 – Nov 2023,Cost of Living (25) + Housing Cost (30) + Cliff Risk (10) = 65,Base (100) - Preemption (0) - Waiver Gaps (-8) = 92,Provided unconditional cash assistance to low-income single caregiver households with children.,,91.0,Evaluated by CGIR. Key Findings: Single caregivers experienced a marked reduction in depressive symptoms.,https://www.cambridgema.gov/,81.2
"Chelsea, MA (Chelsea Eats)",42.3918,-71.0328,Completed,85,92,Public / Private Mix,Municipal ARPA & Philanthropic Match,General Low-Income,Harvard Kennedy School,Visa Prepaid,Emergency pandemic distribution prioritized academic data collection and instantaneous card issuance.,2000,$400,2020 – 2021,Pandemic Disruption (38) + Housing Burden (27) + Cliff Risk (20) = 85,Base (100) - Preemption (0) - Waiver Gaps (-8) = 92,One of the earliest emergency pandemic debit card direct cash assistance programs in the US.,,93.0,Evaluated by Harvard Kennedy School. Cash cards substantially reduced food insecurity without disrupting local workforce behavior.,https://www.chelseama.gov/,89.2
"Jackson, MS (Magnolia Mother’s)",32.2988,-90.1848,Completed,95,70,Private Philanthropy,Springboard to Opportunities & Philanthropic Grants,Families / Parents,Springboard to Opportunities,Magnolia FCU,Hyper-local CBO intake paired with a local credit union to foster long-term banking relationships for Black mothers.,110,"$1,000",Dec 2018 – Dec 2023,Child Poverty (40) + Housing Cost (28) + Cliff Risk (27) = 95,Base (100) - Preemption (-15) - Waiver Gaps (-15) = 70,Longest-running US GBI initiative focused exclusively on extremely low-income Black mothers in subsidized housing.,,92.0,Recipients reporting full-time employment doubled from 29% to 61%.,https://springboardto.org/wp-content/uploads/2024/09/MMT-Evaluation-Full-Report-2021-22-website-1.pdf,80.0
"Atlanta, GA (In Her Hands)",33.749,-84.388,Active Pilot,88,75,Private Philanthropy,GRO Fund & GiveDirectly ($13M Private Capital),Maternal Health,GiveDirectly,GiveDirectly,End-to-end management by a single vendor optimized the deployment of private capital completely outside of state channels.,650,$850,2022 – Present,Black Maternal Poverty (38) + Housing Burden (26) + Cliff Risk (24) = 88,Base (100) - State Opposition (-15) - Waiver Gaps (-10) = 75,"Targeted Black women in urban, suburban, and rural Georgia; private funding avoids state preemption.",WHO: GRO Fund & GiveDirectly. WHAT: Expand private coalition funding across the Southeast.,,,,80.2
"Birmingham, AL (Embrace Mothers)",33.5186,-86.8104,Completed,91,70,Private Philanthropy,Mayors for a Guaranteed Income Philanthropic Grants,Maternal Health,Birmingham City Government,Usio,Operated outside state infrastructure using MGI funds to avoid hostile southern state preemption laws.,110,$375,2022 – 2023,Single Mother Poverty (40) + Housing (26) + Cliff Risk (25) = 91,Base (100) - State Opposition (-20) - Waiver Gaps (-10) = 70,Spearheaded by the Mayor’s office but funded privately to support single female heads of household.,,89.0,Significant reduction in debt-to-income ratios; 60% of mothers used funds exclusively for childcare and food.,https://www.birminghamal.gov/,78.4
"New Orleans, LA (Financial Freedom)",29.9511,-90.0715,Completed,90,80,Public / Private Mix,Municipal Funds & Foundation Support,Youth / Foster,Mayor’s Office,Usio,"Managed direct intake, passing data to a specialized fintech for instant card funding.",125,$350,2021 – 2022,Opportunity Youth Disconnection (38) + Housing (28) + Cliff Risk (24) = 90,Base (100) - Preemption (0) - Waiver Gaps (-20) = 80,"Targeted ""Opportunity Youth"" (ages 16-24) to combat the highest youth disconnection rate in the country.",,88.0,Youth participants showed dramatic increases in high school graduation rates and bank account ownership.,https://nola.gov/,84.0
"Columbia, SC (CLIP)",34.0007,-81.0348,Completed,85,72,Private Philanthropy,Mayors for a Guaranteed Income & Private Grants,Families / Parents,Mayors for GI,Usio,Utilized national networks to bypass local political resistance to unconditional cash programs.,100,$500,2021 – 2022,Fatherhood Absentee Risk (35) + Housing Burden (25) + Cliff Risk (25) = 85,Base (100) - Preemption Risk (-18) - Waiver Gaps (-10) = 72,Focused exclusively on low-income fathers to stabilize family dynamics and improve child involvement.,,87.0,Fathers reported increased time spent with children and a massive reduction in utility shut-offs.,https://www.midlandsfathers.com/,77.2
"Gainesville, FL (Just Income GNV)",29.6516,-82.3248,Completed,88,75,Private Philanthropy,Community Spring Philanthropic Grants,Formerly Incarcerated,Community Spring,UpTogether,Required a platform entirely divorced from law enforcement to build trust with justice-impacted individuals.,115,$600,2022 – 2023,Recidivism Risk (40) + Housing Cost (25) + Cliff Risk (23) = 88,Base (100) - State Opposition (-15) - Waiver Gaps (-10) = 75,First GBI in the nation specifically targeting justice-impacted citizens to prevent recidivism.,,93.0,Zero participants returned to prison during the pilot. Significant gains in sustained employment.,https://www.justincomegnv.org/,80.2
"Philadelphia, PA (MGI)",39.9526,-75.1652,Active Pilot,94,82,Public ARPA,Municipal ARPA & Local Foundation Mix,Families / Parents,City of Philadelphia,Usio,In-house tracking was required to secure and manage strict TANF waivers through the state department.,300,$500,Jun 2022 – Present,Child Poverty (40) + Housing Cost (26) + Cliff Risk (28) = 94,Base (100) - Preemption (-8) - Waiver Gaps (-10) = 82,Direct response to deep urban poverty targeting expectant mothers and extended TANF recipients.,WHO: City Council. WHAT: Scale administrative workflows for post-ARPA municipal budget integration.,,,,86.8
"Allegheny County, PA (BRIDGE)",40.4406,-79.9959,Active Pilot,76,82,Public / Private Mix,Allegheny County DHS & Local Foundations,Families / Parents,Allegheny County DHS,Usio,Intake was built in-house to integrate directly with the county’s proprietary predictive risk models.,150,$500,2023 – Present,Maternal Vulnerability (32) + Housing Cost (22) + Cliff Risk (22) = 76,Base (100) - Preemption (-5) - Waiver Gaps (-13) = 82,Targeted maternal and early childhood support supported by county human services and foundations.,WHO: County DHS. WHAT: Integrate predictive analytics to track long-term family stability.,,,,79.6
"Harris County, TX (Uplift Harris)",29.7604,-95.3698,Banned / Blocked,85,15,Public ARPA,Federal ARPA Allocation (Blocked by State AG),General Low-Income,GiveDirectly,GiveDirectly,County outsourced end-to-end ARPA management before state-level litigation halted operations.,1928,$500,Halted 2024,Poverty Density (38) + Housing Cost (22) + Cliff Risk (25) = 85,Base (100) - Supreme Court Injunction (-85) = 15,Halted by Texas Supreme Court under state constitutional gift clause challenges.,WHO: Philanthropic Partners. WHAT: Wait for litigation to resolve.,,,,43.0
"Austin, TX (Austin GI)",30.2672,-97.7431,Banned / Blocked,75,12,Public Municipal,Municipal General Fund (Blocked by Lawsuit),General Low-Income,UpTogether,UpTogether,Municipal funds utilized a social platform before facing catastrophic state-level preemption lawsuits.,135,"$1,000",Halted 2024,Poverty Density (30) + Housing Cost (25) + Cliff Risk (20) = 75,Base (100) - Supreme Court Injunction (-88) = 12,Halted by Texas Attorney General under constitutional challenges against public cash transfers.,,,,,37.2
"Polk County, IA (UpLift)",41.5868,-93.625,Banned / Blocked,45,0,Private Philanthropy,Private Philanthropy (Terminated by State Statute HF2319),General Low-Income,Mid-Iowa Health Foundation,Usio,Local health foundation managed intake prior to the statewide legislative ban on guaranteed income.,110,$500,Terminated 2024,Poverty Density (15) + Housing Cost (15) + Cliff Risk (15) = 45,Base (100) - Statutory Preemption HF2319 (-100) = 0,"Forced to terminate after Iowa passed House File 2319, explicitly banning local guaranteed income programs.",,,,,18.0
"Durham, NC",35.994,-78.8986,Target Opportunity,78,65,Pending / Seeking Funds,Proposed Municipal RFP & MGI Advocacy Pipeline,General Low-Income,Pending RFP,Pending RFP,Awaiting vendor procurement. Strong advocacy support from mayoral leadership creates a high-conversion deployment window.,100,TBD,Proposed 2026/2027,Child Poverty (30) + Housing Cost (28) + Cliff Risk (20) = 78,Base (100) - Preemption Risk (-20) - Waiver Gaps (-15) = 65,Mayoral leadership under the MGI network actively exploring cash pilot frameworks to bridge urban wealth gaps.,WHO: Office of Econ Dev. WHAT: Support program integrity with automated verification frameworks to assure state legislators. WHEN: Pre-session.,,,,70.2
"Richmond, VA",37.5407,-77.436,Target Opportunity,80,72,Pending / Seeking Funds,Local Nonprofit Coalition & Health Grant Proposals,Maternal Health,Pending RFP,Pending RFP,Awaiting vendor procurement. Prime opportunity for robust health-data integration software.,150,TBD,Proposed 2026/2027,Maternal Vulnerability (35) + Housing Cost (25) + Cliff Risk (20) = 80,Base (100) - Preemption (-10) - Waiver Gaps (-18) = 72,Local health coalitions building momentum for a targeted maternal health basic income demonstration.,"WHO: Dept of Social Services. WHAT: Offer scalable, multi-agency compliance routing to simplify launch. WHEN: Immediate.",,,,75.2
